time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-09-15T04:12:16.258Z,-15.1075,179.8718,10,5.9,mww,,34,3.15,0.67,us,us7000bndc,2022-08-09T00:22:12.086Z,"156 km NNE of Labasa, Fiji",earthquake,7.5,1.7,0.057,30,reviewed,us,us
2020-08-29T03:17:40.903Z,-17.3986,-179.0211,543.46,4.5,mb,,78,2.812,0.97,us,us7000bep8,2020-11-07T18:48:32.040Z,"191 km ENE of Levuka, Fiji",earthquake,9.7,6.1,0.089,37,reviewed,us,us
2020-08-28T01:57:22.389Z,-15.0399,-179.0062,401.68,4.8,mb,,64,1.124,1.09,us,us7000be5c,2020-11-07T18:48:30.040Z,"123 km SW of Leava, Wallis and Futuna",earthquake,9.6,5.3,0.027,436,reviewed,us,us
2020-08-26T08:39:55.223Z,-15.8021,-179.4134,10,4.9,mb,,102,1.94,0.59,us,us7000bd3k,2020-11-07T18:48:28.040Z,"148 km ENE of Labasa, Fiji",earthquake,8.5,1.8,0.039,212,reviewed,us,us
2020-08-26T04:10:16.210Z,-15.8759,-179.3367,10,4.7,mb,,115,1.951,0.74,us,us7000bd2q,2020-11-07T18:48:28.040Z,"151 km ENE of Labasa, Fiji",earthquake,10,1.8,0.072,58,reviewed,us,us
2020-08-16T21:13:25.000Z,-16.2729,178.1615,10,4.9,mb,,68,1.467,0.91,us,us6000bfqs,2022-08-08T23:58:29.315Z,"129 km W of Labasa, Fiji",earthquake,11.7,1.8,0.041,186,reviewed,us,us
2020-06-21T06:13:48.359Z,-16.893,176.7273,10,4.5,mb,,74,1.523,0.79,us,us6000afsl,2020-08-30T00:00:58.040Z,"111 km NW of Lautoka, Fiji",earthquake,5.9,1.8,0.128,18,reviewed,us,us
2020-06-16T02:17:25.384Z,-16.7396,177.1369,10,4.8,mb,,80,1.328,0.53,us,us6000ah6k,2020-08-22T19:15:04.040Z,"102 km NNW of Lautoka, Fiji",earthquake,7.5,1.9,0.121,21,reviewed,us,us
2020-06-07T03:42:37.763Z,-16.6884,177.4053,10,4.9,mb,,91,1.219,1.08,us,us6000a7ci,2020-08-18T17:59:01.040Z,"97 km NNW of Ba, Fiji",earthquake,8.7,1.8,0.057,99,reviewed,us,us
2020-06-06T10:55:41.996Z,-16.7247,177.346,10,5.7,mww,,85,1.218,0.75,us,us6000a74v,2022-03-10T05:21:02.247Z,"96 km NNW of Ba, Fiji",earthquake,6.3,1.5,0.056,31,reviewed,us,us
2020-05-12T12:13:08.027Z,-16.241,178.0484,10,4.7,mb,,110,1.495,0.57,us,us70009kv9,2020-07-29T22:14:39.040Z,"142 km W of Labasa, Fiji",earthquake,5.6,1.9,0.074,56,reviewed,us,us
2020-04-16T08:21:54.763Z,-16.2879,178.3742,10,5.2,mww,,73,1.481,0.64,us,us70008xf4,2020-07-09T14:31:11.040Z,"107 km W of Labasa, Fiji",earthquake,7.5,1.8,0.093,11,reviewed,us,us
2020-03-12T15:44:56.532Z,-16.1694,178.3327,28.54,4.8,mb,,118,1.589,0.82,us,us70008gve,2020-05-30T22:17:22.040Z,"114 km WNW of Labasa, Fiji",earthquake,8,5.3,0.087,50,reviewed,us,us
2020-03-04T03:41:20.189Z,-17.5943,-178.9977,567,4.5,mb,,146,2.816,0.73,us,us60008cjd,2020-05-23T22:03:09.040Z,"186 km ENE of Levuka, Fiji",earthquake,10.8,7.1,0.14,15,reviewed,us,us
2020-02-15T09:39:15.121Z,-15.6935,179.9662,10,5.7,mww,,114,2.742,0.7,us,us70007qt0,2020-05-02T22:09:52.040Z,"104 km NE of Labasa, Fiji",earthquake,9.7,1.9,0.069,20,reviewed,us,us
2020-02-15T03:44:18.287Z,-18.5736,176.4583,10,4.5,mb,,125,1.725,1.25,us,us70007u68,2020-05-02T22:10:30.040Z,"132 km SW of Nadi, Fiji",earthquake,8.2,1.9,0.157,12,reviewed,us,us
2020-02-09T10:27:35.039Z,-16.5081,-179.8535,510.4,4.5,mb,,66,2.349,0.71,us,us70007m0p,2020-04-25T22:18:58.040Z,"83 km E of Labasa, Fiji",earthquake,11.8,2.8,0.065,70,reviewed,us,us
2020-02-06T12:00:54.645Z,-17.9104,-179.1057,601.43,4.6,mb,,81,2.711,0.84,us,us70007jvs,2020-04-25T22:18:09.040Z,"167 km E of Levuka, Fiji",earthquake,13,7.3,0.078,48,reviewed,us,us
2020-02-03T11:14:46.271Z,-18.1009,-179.2763,621.29,4.7,mb,,56,2.567,0.98,us,us60007nck,2020-04-18T22:10:19.040Z,"148 km E of Levuka, Fiji",earthquake,12.2,6.6,0.031,307,reviewed,us,us
2020-01-22T00:57:20.909Z,-16.5518,177.9519,10,5.5,mww,,24,1.19,1.01,us,us60007cim,2020-04-11T18:20:36.040Z,"112 km NNE of Ba, Fiji",earthquake,6.1,1.7,0.069,20,reviewed,us,us
2019-12-14T16:36:03.668Z,-16.2764,176.9734,10,4.6,mb,,173,1.788,1.01,us,us60006ri5,2020-03-04T21:27:02.040Z,"156 km NNW of Lautoka, Fiji",earthquake,9,2,0.146,16,reviewed,us,us
2019-11-29T17:41:24.756Z,-16.6989,176.6894,10,4.8,mb,,70,1.667,0.78,us,us60006pf4,2020-02-19T18:57:57.040Z,"129 km NW of Lautoka, Fiji",earthquake,9.1,1.9,0.135,19,reviewed,us,us
2019-11-22T14:55:33.850Z,-18.4014,176.2189,10,4.5,mb,,104,1.862,0.74,us,us70006bnp,2020-02-14T22:02:12.040Z,"142 km WSW of Nadi, Fiji",earthquake,12.2,1.9,0.128,18,reviewed,us,us
